index,title,research_type,result_outcome,affiliation,problem_description,goal/objective,research_method,research_question,hypothesis,prediction,contribution,pseudocode,open_source_code,open_experiment_code,train,validation,test,results,hardware_specification,software_dependencies,third_party_citation,experiment_setup,evaluation_criteria,authors,link,comments,conference
1,A Generative Model for Recognizing Mixed Group Activities in Still Images,E,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,"Zheng Zhou, Kan Li, Xiangjian He and Mengmeng Li",http://www.ijcai.org/Proceedings/16/Papers/514.pdf,,IJCAI 16
2,Proving the Incompatibility of Efficiency and Strategyproofness via SMT Solving,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"Florian Brandl, Felix Brandt and Christian Geist",http://www.ijcai.org/Proceedings/16/Papers/024.pdf,,IJCAI 16
3,Efficiently Finding Conceptual Clustering Models with Integer Linear Programming,E,1,0,1,0,0,1,0,0,1,1,0,0,,,1,0,1,0,1,1,1,"Abdelkader Ouali, Samir Loudni, Yahia Lebbah, Patrice Boizumault, Albrecht Zimmermann and Lakhdar Loukil",http://www.ijcai.org/Proceedings/16/Papers/098.pdf,,IJCAI 16
4,Natural Supervised Hashing,E,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,Qi Liu and Hongtao Lu,http://www.ijcai.org/Proceedings/16/Papers/256.pdf,,IJCAI 16
5,Learning Compact Visual Representation with Canonical Views for Robust Mobile Landmark Search,E,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"Lei Zhu, Jialie Shen, Xiaobai Liu and Liang Xie",http://www.ijcai.org/Proceedings/16/Papers/557.pdf,,IJCAI 16
6,Dynamic Task Allocation Algorithm for Hiring Workers that Learn,E,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"Shengying Pan, Kate Larson, Josh Bradshaw and Edith Law",http://www.ijcai.org/Proceedings/16/Papers/538.pdf,,IJCAI 16
7,A Unifying Framework for Learning Bag Labels from Generalized Multiple-Instance Data,E,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,"Gary Doran, Andrew Latham and Soumya Ray",http://www.ijcai.org/Proceedings/16/Papers/205.pdf,,IJCAI 16
8,Multi-grained Role Labeling Based on Multi-modality Information for Real Customer Service Telephone Conversation,E,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"Weizhi Ma, Min Zhang, Yiqun Liu and Shaoping Ma",http://www.ijcai.org/Proceedings/16/Papers/260.pdf,,IJCAI 16
9,Change Detection using Directional Statistics,E,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,"Tsuyoshi Idé, Dzung T. Phan, Jayant Kalagnanam",http://www.ijcai.org/Proceedings/16/Papers/231.pdf,,IJCAI 16
10,Modeling Contagious Merger and Acquisition via Point Processes with a Profile Regression Prior,E,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,"Junchi Yan, Shuai Xiao, Changsheng Li, Bo Jin, Xiangfeng Wang, Bin Ke, Xiaokang Yang, Hongyuan Zha",http://www.ijcai.org/Proceedings/16/Papers/382.pdf,,IJCAI 16
11,Recurrent Neural Network for Text Classification with Multi-Task Learning,E,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,"Pengfei Liu, Xipeng Qiu, Xuanjing Huang",http://www.ijcai.org/Proceedings/16/Papers/408.pdf,,IJCAI 16
12,Nash equilibria and their elimination in resource games,T,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,Nicolas Troquard,http://www.ijcai.org/Proceedings/16/Papers/078.pdf,,IJCAI 16
13,Constructive Preference Elicitation by Setwise Max-margin Learning,E,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,"Stefano Teso, Andrea Passerini and Paolo Viappiani",http://www.ijcai.org/Proceedings/16/Papers/295.pdf,,IJCAI 16
